Date,Item,Item_Link,Price,Seller,Seller_Link,Seller_Ratings
,Buyer Protection Tsunami Fixed Gear Bike S$85 Like new,https://www.carousell.sg/p/tsunami-fixed-gear-bike-1388273237/?t-id=y8cwV36T1g_1755880683543&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=50&t-referrer_page_type=search&t-referrer_request_id=YJIT_06lXN6uAozu&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=0,S$85,,,
,Buyer Protection SSPU Folding Bike - Black and Orange S$120 Like new,https://www.carousell.sg/p/sspu-folding-bike-black-and-orange-1388228367/?t-id=y8cwV36T1g_1755880683543&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=50&t-referrer_page_type=search&t-referrer_request_id=YJIT_06lXN6uAozu&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1,S$120,,,
,Buyer Protection Pink Mountain Bike -powerful plus chop S$99 Like new,https://www.carousell.sg/p/pink-mountain-bike-powerful-plus-chop-1388146508/?t-id=y8cwV36T1g_1755880683543&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=50&t-referrer_page_type=search&t-referrer_request_id=YJIT_06lXN6uAozu&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2,S$99,,,
,Buyer Protection Pink City Bike with Basket S$100 Like new,https://www.carousell.sg/p/pink-city-bike-with-basket-1388200397/?t-id=y8cwV36T1g_1755880683543&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=50&t-referrer_page_type=search&t-referrer_request_id=YJIT_06lXN6uAozu&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=3,S$100,,,
,Wishbone Bike - Blue S$85 Like new,https://www.carousell.sg/p/wishbone-bike-blue-1381949050/?t-id=y8cwV36T1g_1755880683543&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=50&t-referrer_page_type=search&t-referrer_request_id=YJIT_06lXN6uAozu&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=5,S$85,,,
,Buyer Protection Aleoca 18” Teenage bike S$80 Like new,https://www.carousell.sg/p/aleoca-18”-teenage-bike-1376365626/?t-id=y8cwV36T1g_1755880683543&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=50&t-referrer_page_type=search&t-referrer_request_id=YJIT_06lXN6uAozu&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=6,S$80,,,
,Buyer Protection Ride & Fish FD-20 Folding Bike with Basket S$130 Like new,https://www.carousell.sg/p/ride-fish-fd-20-folding-bike-with-basket-1388242949/?t-id=y8cwV36T1g_1755880683543&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=50&t-referrer_page_type=search&t-referrer_request_id=YJIT_06lXN6uAozu&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=7,S$130,,,
,Buyer Protection Bicycle folding bike S$110 S$125 Like new,https://www.carousell.sg/p/bicycle-folding-bike-1387677089/?t-id=y8cwV36T1g_1755880683543&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=50&t-referrer_page_type=search&t-referrer_request_id=YJIT_06lXN6uAozu&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=8,S$110,,,
,Buyer Protection Pigeon Folding Bike - Sport Bike (almost new) S$130 Like new,https://www.carousell.sg/p/pigeon-folding-bike-sport-bike-almost-new-1388073522/?t-id=y8cwV36T1g_1755880683543&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=50&t-referrer_page_type=search&t-referrer_request_id=YJIT_06lXN6uAozu&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=9,S$130,,,
,Buyer Protection 20” folding bike Tyre G One (schwalbe) S$68 Like new,https://www.carousell.sg/p/20”-folding-bike-tyre-g-one-schwalbe-1388058447/?t-id=y8cwV36T1g_1755880683543&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=50&t-referrer_page_type=search&t-referrer_request_id=YJIT_06lXN6uAozu&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=10,S$68,,,
,Buyer Protection Macce foldable mountain bike S$100 Like new,https://www.carousell.sg/p/macce-foldable-mountain-bike-1387945210/?t-id=y8cwV36T1g_1755880683543&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=50&t-referrer_page_type=search&t-referrer_request_id=YJIT_06lXN6uAozu&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=11,S$100,,,
,Folding Bike - Rider S$150 Like new,https://www.carousell.sg/p/folding-bike-rider-1387454030/?t-id=y8cwV36T1g_1755880683543&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=50&t-referrer_page_type=search&t-referrer_request_id=YJIT_06lXN6uAozu&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=13,S$150,,,
,Buyer Protection Folding Bike with Carry Bag S$80 Like new,https://www.carousell.sg/p/folding-bike-with-carry-bag-1387783510/?t-id=y8cwV36T1g_1755880683543&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=50&t-referrer_page_type=search&t-referrer_request_id=YJIT_06lXN6uAozu&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=14,S$80,,,
,Buyer Protection Folding Bike - White and Black S$120 Like new,https://www.carousell.sg/p/folding-bike-white-and-black-1387274218/?t-id=y8cwV36T1g_1755880683543&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=50&t-referrer_page_type=search&t-referrer_request_id=YJIT_06lXN6uAozu&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=15,S$120,,,
,Buyer Protection Tsunami SNM300 Fixed Gear Bike S$67 Like new,https://www.carousell.sg/p/tsunami-snm300-fixed-gear-bike-1387447764/?t-id=y8cwV36T1g_1755880683543&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=50&t-referrer_page_type=search&t-referrer_request_id=YJIT_06lXN6uAozu&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=16,S$67,,,
,Buyer Protection Ninebot Kids Bike 14 inch - Blue S$120 Like new,https://www.carousell.sg/p/ninebot-kids-bike-14-inch-blue-1379916066/?t-id=y8cwV36T1g_1755880683543&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=50&t-referrer_page_type=search&t-referrer_request_id=YJIT_06lXN6uAozu&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=17,S$120,,,
,Kids Bike Btwin 16 inch Doctor Girl S$85 Like new,https://www.carousell.sg/p/kids-bike-btwin-16-inch-doctor-girl-1387170798/?t-id=y8cwV36T1g_1755880683543&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=50&t-referrer_page_type=search&t-referrer_request_id=YJIT_06lXN6uAozu&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=18,S$85,,,
,Buyer Protection Strider Balance Bike - White S$50 Like new,https://www.carousell.sg/p/strider-balance-bike-white-1385827468/?t-id=y8cwV36T1g_1755880683543&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=50&t-referrer_page_type=search&t-referrer_request_id=YJIT_06lXN6uAozu&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=19,S$50,,,
,Mountain Bike S$149 Like new,https://www.carousell.sg/p/mountain-bike-1385758559/?t-id=y8cwV36T1g_1755880683543&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=50&t-referrer_page_type=search&t-referrer_request_id=YJIT_06lXN6uAozu&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=20,S$149,,,
,Buyer Protection Phoenix 26 inch Mountain Bike with Accessories S$149 Like new,https://www.carousell.sg/p/phoenix-26-inch-mountain-bike-with-accessories-1388144550/?t-id=y8cwV36T1g_1755880683543&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=50&t-referrer_page_type=search&t-referrer_request_id=YJIT_06lXN6uAozu&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=21,S$149,,,
,Buyer Protection LauxJack Mountain Bike - Like New Condition S$120 Like new,https://www.carousell.sg/p/lauxjack-mountain-bike-like-new-condition-1387069565/?t-id=y8cwV36T1g_1755880683543&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=50&t-referrer_page_type=search&t-referrer_request_id=YJIT_06lXN6uAozu&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=22,S$120,,,
,Buyer Protection BTWIN Balance Bike - White S$78 Like new,https://www.carousell.sg/p/btwin-balance-bike-white-1387218806/?t-id=y8cwV36T1g_1755880683543&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=50&t-referrer_page_type=search&t-referrer_request_id=YJIT_06lXN6uAozu&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=23,S$78,,,
