Date,Item,Item_Link,Price,Seller,Seller_Link,Seller_Ratings
,Buyer Protection Orange Monster Truck Toy S$12 Brand new,https://www.carousell.sg/p/orange-monster-truck-toy-1388383846/?t-id=qkkefUIjdZ_1755938923958&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=7lXeRZGAdsXEZ7nG&t-referrer_search_query=truck&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=0,S$12,,,
,*Tyre Worming/Tyre Patching/Cacing/Air Valve Leak* *Bike car van truck bus forklift crane* Telok Blangah Road S$50 New,https://www.carousell.sg/p/tyre-worming-tyre-patching-cacing-air-valve-leak-bike-car-van-truck-bus-forklift-crane-telok-blangah-road-1371055496/?t-id=qkkefUIjdZ_1755938923958&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=7lXeRZGAdsXEZ7nG&t-referrer_search_query=truck&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1,S$50,,,
,"*Tyre Worming/Tyre Patching/Cacing*
*Bike, car, van, truck, bus, forklift, crane* S$50 New",https://www.carousell.sg/p/tyre-worming-tyre-patching-cacing-bike-car-van-truck-bus-forklift-crane-1259113295/?t-id=qkkefUIjdZ_1755938923958&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=7lXeRZGAdsXEZ7nG&t-referrer_search_query=truck&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2,S$50,,,
,*Tyre Worming/Tyre Patching/Cacing/Air Valve Leak* *Bike car van truck bus forklift crane* Woodlands St 83 S$50 New,https://www.carousell.sg/p/tyre-worming-tyre-patching-cacing-air-valve-leak-bike-car-van-truck-bus-forklift-crane-woodlands-st-83-1366751476/?t-id=qkkefUIjdZ_1755938923958&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=7lXeRZGAdsXEZ7nG&t-referrer_search_query=truck&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=3,S$50,,,
,Tarmac Works 1:64 Scale Mitsubishi Fuso Super Great LBWK TRUCKS S$95 Brand new,https://www.carousell.sg/p/tarmac-works-1-64-scale-mitsubishi-fuso-super-great-lbwk-trucks-1388175013/?t-id=qkkefUIjdZ_1755938923958&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=7lXeRZGAdsXEZ7nG&t-referrer_search_query=truck&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=5,S$95,,,
,*Tyre Worming/Tyre Patching/Cacing/Air Valve Leak* *Bike car van truck bus forklift crane* Mount Sophia S$50 New,https://www.carousell.sg/p/tyre-worming-tyre-patching-cacing-air-valve-leak-bike-car-van-truck-bus-forklift-crane-mount-sophia-1388357986/?t-id=qkkefUIjdZ_1755938923958&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=7lXeRZGAdsXEZ7nG&t-referrer_search_query=truck&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=6,S$50,,,
,Buyer Protection ELC Wooden Toddle Truck Walker S$20 Brand new,https://www.carousell.sg/p/elc-wooden-toddle-truck-walker-1388351212/?t-id=qkkefUIjdZ_1755938923958&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=7lXeRZGAdsXEZ7nG&t-referrer_search_query=truck&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=7,S$20,,,
,"🤩 ! Tpms Wireless Solar Power Rechargeable USB LED External Tyre Pressure Monitoring System Real Time Detection For All Vehicle With 6 Wheels Like Lorry,  Mini Bus, Fire Truck, School Bus, Jeep Wrangler, Rover #Lotusgod Lotus God 🌟 Black Box 386 🌟 S$88 New",https://www.carousell.sg/p/🤩-tpms-wireless-solar-power-rechargeable-usb-led-external-tyre-pressure-monitoring-system-real-time-detection-for-all-vehicle-with-6-wheels-like-lorry-mini-bus-fire-truck-school-bus-jeep-wrangler-rover-lotusgod-lotus-god-🌟-black-box-386-🌟-1305889761/?t-id=qkkefUIjdZ_1755938923958&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=7lXeRZGAdsXEZ7nG&t-referrer_search_query=truck&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=8,S$88,,,
,"Japan Hot wheels Hotwheels Range Rover Classic  *Imported from JAPAN- *Special JAPAN Domestic Market Packaging Version. Hot wheels 2020 Hot Trucks Series.Not Matchbox, Majorette, bburago, Tomica Takara Tomy, mini gt. S$9.80 Brand new",https://www.carousell.sg/p/japan-hot-wheels-hotwheels-range-rover-classic-imported-from-japan-special-japan-domestic-market-packaging-version-hot-wheels-2020-hot-trucks-series-not-matchbox-majorette-bburago-tomica-takara-tomy-mini-gt-1363901599/?t-id=qkkefUIjdZ_1755938923958&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=7lXeRZGAdsXEZ7nG&t-referrer_search_query=truck&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=9,S$9.80,,,
,2137) CALISTOUK 85mm Digital Stainless GPS Speedometer 160MPH Gauge for Car Truck Boat Black S$22 New,https://www.carousell.sg/p/2137-calistouk-85mm-digital-stainless-gps-speedometer-160mph-gauge-for-car-truck-boat-black-1235650603/?t-id=qkkefUIjdZ_1755938923958&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=7lXeRZGAdsXEZ7nG&t-referrer_search_query=truck&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=10,S$22,,,
