Date,Item,Item_Link,Price,Seller,Seller_Link,Seller_Ratings
,Buyer Protection “Stokke Tripp Trapp” High Chair - Baby Chair S$10 S$20 Brand new,https://www.carousell.sg/p/“stokke-tripp-trapp”-high-chair-baby-chair-1378300244/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=0,S$10,,,
,Buyer Protection Zuru mini baby Doll with Pool and Umbrella or TRADE with the high chair S$12 Brand new,https://www.carousell.sg/p/zuru-mini-baby-doll-with-pool-and-umbrella-or-trade-with-the-high-chair-1388316708/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1,S$12,,,
,AFFORDABLE Dessert Table & Pastries| Birthday | Wedding | 100 days | 1 month | Baby shower | Event decorations | Pastries | Rental Table Chair | Rental Backdrop | Birthday Cake | Pastries | Balloon | Garland S$130 New,https://www.carousell.sg/p/affordable-dessert-table-pastries-birthday-wedding-100-days-1-month-baby-shower-event-decorations-pastries-rental-table-chair-rental-backdrop-birthday-cake-pastries-balloon-garland-1257070737/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2,S$130,,,
,Buyer Protection BabyBjorn potty chair - pink S$55 Brand new,https://www.carousell.sg/p/babybjorn-potty-chair-pink-1388123456/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=3,S$55,,,
,[SG FREE 🚚] Adjustable Baby Rocking Chair | Infant Cradle with Breathable Mesh & Reclining Backrest S$38.90 Brand new,https://www.carousell.sg/p/sg-free-🚚-adjustable-baby-rocking-chair-infant-cradle-with-breathable-mesh-reclining-backrest-1388120553/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=5,S$38.90,,,
,"【SG STOCK】 Folding baby high chair, multi-functional baby high chair, adjustable height, back and tray folding feeding chair 3 in 1 baby high chair S$78 Brand new",https://www.carousell.sg/p/【sg-stock】-folding-baby-high-chair-multi-functional-baby-high-chair-adjustable-height-back-and-tray-folding-feeding-chair-3-in-1-baby-high-chair-1388120369/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=6,S$78,,,
,Buyer Protection Inflatable Baby Chair with Bear Design S$8 Brand new,https://www.carousell.sg/p/inflatable-baby-chair-with-bear-design-1382060336/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=7,S$8,,,
,Your browser does not support HTML5 video. Ready Stock Baby Foldable Rocking Swinging High Chair S$105 Brand new,https://www.carousell.sg/p/ready-stock-baby-foldable-rocking-swinging-high-chair-1357682004/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=8,S$105,,,
,"Buyer Protection Bonbijou Dee Multipurpose High Chair (Baby Base, Floor Seat, High Chair, Table & Chair, Stool) S$109 Brand new",https://www.carousell.sg/p/bonbijou-dee-multipurpose-high-chair-baby-base-floor-seat-high-chair-table-chair-stool-1388017086/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=9,S$109,,,
,Baby high chair cushion S$8 S$9 Brand new,https://www.carousell.sg/p/baby-high-chair-cushion-1376101653/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=10,S$8,,,
