Date,Item,Item_Link,Price,Seller,Seller_Link,Seller_Ratings
2025-08-07,Triban RC Women road bike bicycle rockraider btwin riverside rockraider frame S Made in Portugal S$299 Like new,https://www.carousell.sg/p/triban-rc-women-road-bike-bicycle-rockraider-btwin-riverside-rockraider-frame-s-made-in-portugal-1385285178/?t-id=NkVkr5Tg-7_1755953688539&t-referrer_browse_type=search_results&t-referrer_filter_price_min=10&t-referrer_page_type=search&t-referrer_request_id=Upk_vOZ86RijEclE&t-referrer_search_query=road%20bike%20btwin%20foldable&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=0,S$299,,,
2025-03-26,Super Light Carbon Saddle with cushion for Road Bike Fixie Foldable Trifold Bifold Bicycle 155mm S$65 S$68 Like new,https://www.carousell.sg/p/super-light-carbon-saddle-with-cushion-for-road-bike-fixie-foldable-trifold-bifold-bicycle-155mm-1347827977/?t-id=NkVkr5Tg-7_1755953688539&t-referrer_browse_type=search_results&t-referrer_filter_price_min=10&t-referrer_page_type=search&t-referrer_request_id=Upk_vOZ86RijEclE&t-referrer_search_query=road%20bike%20btwin%20foldable&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1,S$65,,,
2025-08-03,Preloved Red Btwin Tilt 120 Foldable Bike S$185 Like new,https://www.carousell.sg/p/preloved-red-btwin-tilt-120-foldable-bike-1384478386/?t-id=NkVkr5Tg-7_1755953688539&t-referrer_browse_type=search_results&t-referrer_filter_price_min=10&t-referrer_page_type=search&t-referrer_request_id=Upk_vOZ86RijEclE&t-referrer_search_query=road%20bike%20btwin%20foldable&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2,S$185,,,
2024-10-27,Buyer Protection Btwin road bike rc 100 ( SIZE XS)WTT/WTS S$250 S$290 Like new,https://www.carousell.sg/p/btwin-road-bike-rc-100-size-xs-wtt-wts-1334294263/?t-id=NkVkr5Tg-7_1755953688539&t-referrer_browse_type=search_results&t-referrer_filter_price_min=10&t-referrer_page_type=search&t-referrer_request_id=Upk_vOZ86RijEclE&t-referrer_search_query=road%20bike%20btwin%20foldable&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=3,S$250,,,
2022-08-24,Btwin Ultra AFGF 500 Road Bike S$820 Like new,https://www.carousell.sg/p/btwin-ultra-afgf-500-road-bike-1172191569/?t-id=NkVkr5Tg-7_1755953688539&t-referrer_browse_type=search_results&t-referrer_filter_price_min=10&t-referrer_page_type=search&t-referrer_request_id=Upk_vOZ86RijEclE&t-referrer_search_query=road%20bike%20btwin%20foldable&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=5,S$820,,,
2024-08-23,Buyer Protection VELO VL-1776 titanium bow lightweight bicycle saddle for Road Bike/TT Bike/Foldable Bike S$80 Like new,https://www.carousell.sg/p/velo-vl-1776-titanium-bow-lightweight-bicycle-saddle-for-road-bike-tt-bike-foldable-bike-1303653365/?t-id=NkVkr5Tg-7_1755953688539&t-referrer_browse_type=search_results&t-referrer_filter_price_min=10&t-referrer_page_type=search&t-referrer_request_id=Upk_vOZ86RijEclE&t-referrer_search_query=road%20bike%20btwin%20foldable&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=6,S$80,,,
2022-08-24,Btwin road bike saddle S$15 Like new,https://www.carousell.sg/p/btwin-road-bike-saddle-1172768503/?t-id=NkVkr5Tg-7_1755953688539&t-referrer_browse_type=search_results&t-referrer_filter_price_min=10&t-referrer_page_type=search&t-referrer_request_id=Upk_vOZ86RijEclE&t-referrer_search_query=road%20bike%20btwin%20foldable&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=7,S$15,,,
2023-08-24,btwin hybrid road bike bicycle with Shimano gears S$180 Like new,https://www.carousell.sg/p/btwin-hybrid-road-bike-bicycle-with-shimano-gears-1249577843/?t-id=NkVkr5Tg-7_1755953688539&t-referrer_browse_type=search_results&t-referrer_filter_price_min=10&t-referrer_page_type=search&t-referrer_request_id=Upk_vOZ86RijEclE&t-referrer_search_query=road%20bike%20btwin%20foldable&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=8,S$180,,,
2025-05-25,Buyer Protection **SALE** T8 PRO WHITE FOLDABLE ROAD BIKE S$350 Like new Free delivery,https://www.carousell.sg/p/sale-t8-pro-white-foldable-road-bike-1371707656/?t-id=NkVkr5Tg-7_1755953688539&t-referrer_browse_type=search_results&t-referrer_filter_price_min=10&t-referrer_page_type=search&t-referrer_request_id=Upk_vOZ86RijEclE&t-referrer_search_query=road%20bike%20btwin%20foldable&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=9,S$350,,,
2025-06-24,Buyer Protection BTWIN Kids' 26-Inch Road Bike Triban 100 S$250 Like new,https://www.carousell.sg/p/btwin-kids-26-inch-road-bike-triban-100-1377232262/?t-id=NkVkr5Tg-7_1755953688539&t-referrer_browse_type=search_results&t-referrer_filter_price_min=10&t-referrer_page_type=search&t-referrer_request_id=Upk_vOZ86RijEclE&t-referrer_search_query=road%20bike%20btwin%20foldable&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=10,S$250,,,
