Date,Item,Price
2025-07-26,Apple AirPods Max - Space Gray S$300 S$330 Like new,S$300
2025-06-26,Buyer Protection Apple AirPods Max - Space Gray S$300 Like new,S$300
2025-08-22,Apple AirPods Max - Green S$310 Like new,S$310
2025-08-04,Apple AirPod Max S$310 Like new,S$310
2025-08-02,Buyer Protection Apple AirPods Max - Midnight Blue S$310 Like new,S$310
2025-08-23,Apple AirPods Max - Space Gray - Like New S$318 Like new,S$318
2025-08-21,Apple AirPods Max - Space Gray S$320 Like new,S$320
2025-05-27,Buyer Protection Airpods Max with clean new original ear cushions! S$320 S$360 Like new,S$320
2024-12-28,Buyer Protection AirPod Max headphones silver S$325 Like new,S$325
2025-03-28,Buyer Protection AirPods Max S$335 Like new,S$335
2024-10-29,Apple AirPods Max S$340 Like new,S$340
2025-08-05,Buyer Protection 🍭 1 YEAR OLD+🍭 AirPods Max Blue🍭 AirPods Max Lighting🍭 AirPods Max Sky blue🍭 AirPods Max Version 1🍭 (MODEL: A2096) S$348 Like new,S$348
2025-08-20,Buyer Protection Apple AirPods Max - Space Gray Lightning Cable Ver S$350 Like new,S$350
2025-08-17,Buyer Protection AirPods MAX S$350 Like new,S$350
2025-08-15,Buyer Protection Apple AirPods Max - Space Gray S$350 Like new,S$350
2025-06-26,Apple AirPods Max - Space Gray S$350 Like new,S$350
2025-05-27,Apple Airpods Max 1st Generation S$350 Like new,S$350
2025-04-27,Buyer Protection Airpods Max S$350 Like new Free delivery,S$350
2025-02-26,Buyer Protection AirPods Max S$350 Like new,S$350
2024-08-25,Apple Airpods Max S$350 S$400 Like new,S$350
2025-08-22,Buyer Protection AIRPODS MAX 36094 S$359 Like new Free delivery,S$359
2025-08-23,Buyer Protection Apple AirPods Max - Space Grey S$380 Like new,S$380
2025-03-28,Buyer Protection Original Apple Airpods Max (Lightning Cable) S$380 Like new,S$380
2025-03-28,AirPods Max (Lightning) in black S$380 Like new,S$380
2025-02-26,Buyer Protection Airpod Max S$380 Like new,S$380
2025-08-09,Buyer Protection 💐 APPLE WARRANTY💐 AirPods Max Green💐 AirPods Max Lighting💐 AirPods Max Green💐 AirPods Max Green💐 AirPods Max Version 1💐 (MODEL: A2096) S$388 Like new,S$388
2025-08-03,Buyer Protection Apple AirPods Max - Sky Blue S$390 Like new,S$390
2025-05-27,AirPods Max Lightning S$390 Like new,S$390
2025-02-26,Buyer Protection AirPod Max (gen 1) S$390 Like new Free delivery,S$390
2024-10-29,Buyer Protection AirPods Max white S$395 Like new,S$395
2025-08-12,Buyer Protection 🌈 JAN-26 APPLE WARRANTY🌈 AirPods Max White🌈 AirPods Max Silver Lighting version🌈 AirPods Max Version 1🌈 A2096🌈 S$398 Like new,S$398
2025-08-23,Apple AirPods Max - Space Gray S$400 Like new,S$400
2025-08-22,Buyer Protection Apple AirPods Max - Space Gray S$400 Like new,S$400
2025-08-15,Buyer Protection Apple AirPods Max - Silver S$400 Like new,S$400
2025-08-01,Airpods Max-lightning S$400 Like new,S$400
2025-07-29,Buyer Protection Apple AirPods Max - White S$400 Like new,S$400
2025-07-28,Buyer Protection apple airpods max (silver) S$400 S$500 Like new,S$400
2025-06-26,Buyer Protection Apple AirPods Max - Space Gray S$400 Like new,S$400
2025-06-26,Buyer Protection Apple AirPods Max - Space Grey S$400 Like new,S$400
2025-05-27,Buyer Protection Airpods Max Space Grey S$400 Like new,S$400
2025-05-27,Buyer Protection AirPods Max S$400 Like new,S$400
2025-05-27,Buyer Protection AirPods Max S$400 Like new,S$400
2025-04-27,Buyer Protection Apple Airpods Max - lightning S$400 Like new,S$400
2025-03-28,Buyer Protection Apple Airpods Max S$400 Like new,S$400
2025-03-28,AirPods Max S$400 Like new,S$400
2025-03-28,Buyer Protection Airpod Max S$400 Like new,S$400
